accession,genus,organism,length,gc,n_frac,verdict,reason
NZ_OR724980.1,Escherichia,Escherichia coli,33303,0.4184,0.000000,keep,
NZ_OR734227.1,Enterococcus,Enterococcus faecium,41126,0.3546,0.000000,keep,
NZ_CP096372.1,Providencia,Providencia sp.,41936,0.5615,0.000000,keep,
NZ_OR724988.1,Escherichia,Escherichia coli,34082,0.4209,0.000000,keep,
NZ_OR724972.1,Escherichia,Escherichia coli,34639,0.4227,0.000000,keep,
NZ_OR675140.1,Bacteroides,Bacteroides fragilis,55727,0.4923,0.000000,keep,
NZ_OR724981.1,Escherichia,Escherichia coli,33310,0.4185,0.000000,keep,
NZ_OR724982.1,Escherichia,Escherichia coli,33304,0.4185,0.000000,keep,
NZ_CP138337.1,Bacillus,Bacillus cereus,15226,0.3801,0.000000,keep,
NZ_OR724983.1,Escherichia,Escherichia coli,33310,0.4185,0.000000,keep,
NZ_OR753270.1,Escherichia,Escherichia coli,33304,0.4184,0.000000,keep,
NZ_CP096376.1,Providencia,Providencia sp.,2669,0.4166,0.000000,keep,
CP139236.1,Klebsiella,Klebsiella pneumoniae,5216,0.4977,0.000000,keep,
CP139235.1,Klebsiella,Klebsiella pneumoniae,9730,0.5322,0.000000,keep,
CP139234.1,Klebsiella,Klebsiella pneumoniae,111159,0.4862,0.000000,keep,
CP139233.1,Klebsiella,Klebsiella pneumoniae,164421,0.4912,0.000000,keep,
CP139232.1,Klebsiella,Klebsiella pneumoniae,185494,0.5229,0.000000,keep,
CP139230.1,Klebsiella,Klebsiella pneumoniae,5216,0.4977,0.000000,keep,
CP139229.1,Klebsiella,Klebsiella pneumoniae,9730,0.5322,0.000000,keep,
CP139228.1,Klebsiella,Klebsiella pneumoniae,111159,0.4863,0.000000,keep,
CP139227.1,Klebsiella,Klebsiella pneumoniae,164457,0.4911,0.000000,keep,
CP139226.1,Klebsiella,Klebsiella pneumoniae,185434,0.5231,0.000000,keep,
CP139246.1,Klebsiella,Klebsiella pneumoniae,43621,0.4827,0.000000,keep,
CP139245.1,Klebsiella,Klebsiella pneumoniae,107766,0.4947,0.000000,keep,
CP139244.1,Klebsiella,Klebsiella pneumoniae,229883,0.5000,0.000000,keep,
CP139242.1,Klebsiella,Klebsiella pneumoniae,5596,0.5114,0.000000,keep,
CP139241.1,Klebsiella,Klebsiella pneumoniae,11970,0.5559,0.000000,keep,
CP139240.1,Klebsiella,Klebsiella pneumoniae,84699,0.5414,0.000000,keep,
CP139239.1,Klebsiella,Klebsiella pneumoniae,106012,0.5292,0.000000,keep,
CP139238.1,Klebsiella,Klebsiella pneumoniae,217877,0.4994,0.000000,keep,
CP139224.1,Klebsiella,Klebsiella pneumoniae,5596,0.5114,0.000000,keep,
CP139223.1,Klebsiella,Klebsiella pneumoniae,11972,0.5558,0.000000,keep,
CP139222.1,Klebsiella,Klebsiella pneumoniae,82789,0.5405,0.000000,keep,
CP139221.1,Klebsiella,Klebsiella pneumoniae,124552,0.5292,0.000000,keep,
CP139220.1,Klebsiella,Klebsiella pneumoniae,218654,0.4995,0.000000,keep,
NZ_CP120066.1,Mammaliicoccus,Mammaliicoccus lentus,2865,0.2921,0.000000,keep,
NZ_CP120065.1,Mammaliicoccus,Mammaliicoccus lentus,2228,0.3088,0.000000,keep,
NZ_CP120064.1,Mammaliicoccus,Mammaliicoccus lentus,4638,0.3206,0.000000,keep,
NZ_CP120063.1,Mammaliicoccus,Mammaliicoccus lentus,4847,0.3031,0.000000,keep,
NZ_CP120022.1,Staphylococcus,Staphylococcus aureus,2395,0.2772,0.000000,keep,
NZ_CP120021.1,Staphylococcus,Staphylococcus aureus,20730,0.2836,0.000000,keep,
NZ_CP134059.1,Vibrio,Vibrio cholerae,139375,0.5137,0.000000,keep,
NZ_CP129354.1,Staphylococcus,Staphylococcus aureus,3123,0.2882,0.000000,keep,
NZ_CP129353.1,Staphylococcus,Staphylococcus aureus,36291,0.2938,0.000000,keep,
NZ_CP129359.1,Staphylococcus,Staphylococcus aureus,3262,0.2909,0.000000,keep,
NZ_CP129358.1,Staphylococcus,Staphylococcus aureus,42033,0.3154,0.000000,keep,
NZ_CP120124.1,Staphylococcus,Staphylococcus aureus,3217,0.2878,0.000000,keep,
NZ_CP120122.1,Staphylococcus,Staphylococcus aureus,33911,0.2830,0.000000,keep,
NZ_CP129356.1,Staphylococcus,Staphylococcus pseudintermedius,3536,0.3026,0.000000,keep,
CP139022.1,Flammeovirgaceae,Flammeovirgaceae bacterium,53590,0.3897,0.000000,keep,
NZ_CP133922.1,Escherichia,Escherichia coli,105009,0.4610,0.000000,keep,
NZ_CP133921.1,Escherichia,Escherichia coli,137549,0.4912,0.000000,keep,
NZ_CP133920.1,Escherichia,Escherichia coli,247558,0.4583,0.000000,keep,
NZ_CP132984.1,Escherichia,Escherichia coli,171722,0.4853,0.000000,keep,
NZ_CP132982.1,Escherichia,Escherichia coli,267517,0.4691,0.000000,keep,
NZ_CP132981.1,Escherichia,Escherichia coli,81040,0.5151,0.000000,keep,
NZ_CP135183.1,Borreliella,Borreliella sinica,57089,0.2816,0.000000,keep,
NZ_CP135182.1,Borreliella,Borreliella sinica,32035,0.2538,0.000000,keep,
NZ_CP135181.1,Borreliella,Borreliella sinica,24506,0.2552,0.000000,keep,
NZ_CP084549.1,Xanthomonas,Xanthomonas citri,16318,0.6075,0.000000,keep,
NZ_CP123608.1,Enterococcus,Enterococcus lactis,218594,0.3626,0.000000,keep,
NZ_CP123612.1,Enterococcus,Enterococcus lactis,78861,0.3520,0.000000,keep,
NZ_CP138852.1,Qipengyuania,Qipengyuania sp.,133762,0.6133,0.000000,keep,
NZ_CP123610.1,Enterococcus,Enterococcus lactis,78861,0.3520,0.000000,reject,F6_dup_sequence
CP138909.1,Apirhabdus,Apirhabdus apintestini,36411,0.4810,0.000000,keep,
CP138908.1,Apirhabdus,Apirhabdus apintestini,86809,0.5106,0.000000,keep,
CP138907.1,Apirhabdus,Apirhabdus apintestini,44141,0.5049,0.000000,keep,
NZ_CP132156.1,Eubacterium,Eubacterium callanderi,39785,0.4489,0.000000,keep,
NZ_CP138856.1,Corynebacterium,Corynebacterium sp.,35773,0.5979,0.000000,keep,
NZ_CP138567.1,Staphylococcus,Staphylococcus aureus,34997,0.2896,0.000000,keep,
NZ_CP138354.1,Cyanobacterium,Cyanobacterium aponinum,4363,0.3048,0.000000,keep,
NZ_CP138353.1,Cyanobacterium,Cyanobacterium aponinum,4586,0.3140,0.000000,keep,
NZ_CP138352.1,Cyanobacterium,Cyanobacterium aponinum,5787,0.3145,0.000000,keep,
NZ_CP138351.1,Cyanobacterium,Cyanobacterium aponinum,5846,0.3170,0.000000,reject,F2_not_complete
NZ_CP138350.1,Cyanobacterium,Cyanobacterium aponinum,6882,0.3434,0.000000,keep,
NZ_CP138349.1,Cyanobacterium,Cyanobacterium aponinum,12210,0.3363,0.000000,keep,
NZ_CP138838.1,Klebsiella,Klebsiella quasipneumoniae,2299,0.4511,0.000000,keep,
NZ_CP138837.1,Klebsiella,Klebsiella quasipneumoniae,3897,0.4221,0.000000,keep,
NZ_CP138836.1,Klebsiella,Klebsiella quasipneumoniae,53624,0.4911,0.000000,keep,
NZ_CP138835.1,Klebsiella,Klebsiella quasipneumoniae,62861,0.5419,0.000000,keep,
NZ_CP138834.1,Klebsiella,Klebsiella quasipneumoniae,136532,0.5175,0.000000,keep,
NZ_CP137629.1,Pediococcus,Pediococcus pentosaceus,19534,0.3412,0.000000,keep,
NZ_CP137628.1,Pediococcus,Pediococcus pentosaceus,77870,0.3881,0.000000,keep,
NZ_CP137626.1,Leuconostoc,Leuconostoc mesenteroides,16935,0.4058,0.000000,keep,
NZ_CP138805.1,Klebsiella,Klebsiella pneumoniae,4683,0.5501,0.000000,keep,
NZ_CP138804.1,Klebsiella,Klebsiella pneumoniae,267699,0.4686,0.000000,keep,
NZ_CP138803.1,Klebsiella,Klebsiella pneumoniae,307717,0.4686,0.000000,keep,
NZ_CP138801.1,Klebsiella,Klebsiella pneumoniae,2058,0.5651,0.000000,keep,
NZ_CP138800.1,Klebsiella,Klebsiella pneumoniae,4858,0.4298,0.000000,keep,
NZ_CP138799.1,Klebsiella,Klebsiella pneumoniae,5290,0.4505,0.000000,keep,
NZ_CP138798.1,Klebsiella,Klebsiella pneumoniae,6847,0.4793,0.000000,keep,
NZ_CP138797.1,Klebsiella,Klebsiella pneumoniae,138897,0.5259,0.000000,keep,
NZ_CP138796.1,Klebsiella,Klebsiella pneumoniae,190421,0.5062,0.000000,keep,
NZ_CP138795.1,Klebsiella,Klebsiella pneumoniae,274404,0.4727,0.000000,keep,
NZ_CP138717.1,Klebsiella,Klebsiella pneumoniae,7263,0.4998,0.000000,keep,
NZ_CP138716.1,Klebsiella,Klebsiella pneumoniae,68260,0.5175,0.000000,keep,
NZ_CP138715.1,Klebsiella,Klebsiella pneumoniae,239860,0.5062,0.000000,keep,
NZ_CP127088.1,Shigella,Shigella flexneri,1812,0.4448,0.000000,keep,
NZ_CP127087.1,Shigella,Shigella flexneri,2089,0.4730,0.000000,keep,
NZ_CP127086.1,Shigella,Shigella flexneri,2690,0.4632,0.000000,keep,
NZ_CP127085.1,Shigella,Shigella flexneri,3180,0.4513,0.000000,keep,
NZ_CP127084.1,Shigella,Shigella flexneri,4110,0.5187,0.000000,keep,
NZ_CP127083.1,Shigella,Shigella flexneri,76772,0.5323,0.000000,keep,
NZ_CP127082.1,Shigella,Shigella flexneri,215531,0.4583,0.000000,keep,
NZ_CP138851.1,Shigella,Shigella flexneri,3181,0.4511,0.000000,keep,
NZ_CP138850.1,Shigella,Shigella flexneri,4042,0.5255,0.000000,keep,
NZ_CP138849.1,Shigella,Shigella flexneri,5250,0.3981,0.000000,keep,
NZ_CP138848.1,Shigella,Shigella flexneri,84286,0.5296,0.000000,keep,
NZ_CP138847.1,Shigella,Shigella flexneri,225605,0.4596,0.000000,keep,
NZ_CP138756.1,Klebsiella,Klebsiella pneumoniae,298,0.5570,0.000000,reject,F3_too_short
NZ_CP138755.1,Klebsiella,Klebsiella pneumoniae,2913,0.4731,0.000000,keep,
NZ_CP138754.1,Klebsiella,Klebsiella pneumoniae,3360,0.5625,0.000000,keep,
NZ_CP138753.1,Klebsiella,Klebsiella pneumoniae,3478,0.4750,0.000000,keep,
NZ_CP138752.1,Klebsiella,Klebsiella pneumoniae,4995,0.4629,0.000000,keep,
NZ_CP138751.1,Klebsiella,Klebsiella pneumoniae,5561,0.4451,0.000000,keep,
NZ_CP138750.1,Klebsiella,Klebsiella pneumoniae,5627,0.5026,0.000000,keep,
NZ_CP138749.1,Klebsiella,Klebsiella pneumoniae,14006,0.4728,0.000000,keep,
NZ_CP138748.1,Klebsiella,Klebsiella pneumoniae,68261,0.5175,0.000000,keep,
NZ_CP138747.1,Klebsiella,Klebsiella pneumoniae,269396,0.4679,0.000000,keep,
NZ_CP138793.1,Klebsiella,Klebsiella pneumoniae,1955,0.5003,0.000000,keep,
NZ_CP138792.1,Klebsiella,Klebsiella pneumoniae,2058,0.5651,0.000000,keep,
NZ_CP138791.1,Klebsiella,Klebsiella pneumoniae,4236,0.5392,0.000000,keep,
NZ_CP138790.1,Klebsiella,Klebsiella pneumoniae,4858,0.4298,0.000000,keep,
NZ_CP138789.1,Klebsiella,Klebsiella pneumoniae,5290,0.4505,0.000000,keep,
NZ_CP138788.1,Klebsiella,Klebsiella pneumoniae,5455,0.5443,0.000000,keep,
NZ_CP138787.1,Klebsiella,Klebsiella pneumoniae,6847,0.4793,0.000000,keep,
NZ_CP138786.1,Klebsiella,Klebsiella pneumoniae,138897,0.5259,0.000000,reject,F6_dup_sequence
NZ_CP138785.1,Klebsiella,Klebsiella pneumoniae,190679,0.5063,0.000000,keep,
NZ_CP138784.1,Klebsiella,Klebsiella pneumoniae,274404,0.4727,0.000000,reject,F6_dup_sequence
NZ_CP138782.1,Klebsiella,Klebsiella pneumoniae,4683,0.5501,0.000000,keep,
NZ_CP138781.1,Klebsiella,Klebsiella pneumoniae,268899,0.4689,0.000000,keep,
NZ_CP138780.1,Klebsiella,Klebsiella pneumoniae,307717,0.4686,0.000000,reject,F6_dup_sequence
NZ_CP138745.1,Klebsiella,Klebsiella pneumoniae,1996,0.5496,0.000000,keep,
NZ_CP138744.1,Klebsiella,Klebsiella pneumoniae,3478,0.4730,0.000000,keep,
NZ_CP138743.1,Klebsiella,Klebsiella pneumoniae,4574,0.5488,0.000000,keep,
NZ_CP138742.1,Klebsiella,Klebsiella pneumoniae,22361,0.4950,0.000000,keep,
NZ_CP138741.1,Klebsiella,Klebsiella pneumoniae,64170,0.5231,0.000000,keep,
NZ_CP138740.1,Klebsiella,Klebsiella pneumoniae,122555,0.5254,0.000000,keep,
NZ_CP138739.1,Klebsiella,Klebsiella pneumoniae,170294,0.5024,0.000000,keep,
NZ_CP138738.1,Klebsiella,Klebsiella pneumoniae,277343,0.4685,0.000000,keep,
NZ_CP138736.1,Klebsiella,Klebsiella pneumoniae,1914,0.5831,0.000000,keep,
NZ_CP138735.1,Klebsiella,Klebsiella pneumoniae,3478,0.4730,0.000000,keep,
NZ_CP138734.1,Klebsiella,Klebsiella pneumoniae,4574,0.5488,0.000000,reject,F6_dup_sequence
NZ_CP138733.1,Klebsiella,Klebsiella pneumoniae,8160,0.6029,0.000000,keep,
NZ_CP138732.1,Klebsiella,Klebsiella pneumoniae,22361,0.4950,0.000000,keep,
NZ_CP138731.1,Klebsiella,Klebsiella pneumoniae,60916,0.5441,0.000000,keep,
NZ_CP138730.1,Klebsiella,Klebsiella pneumoniae,63639,0.5216,0.000000,keep,
NZ_CP138729.1,Klebsiella,Klebsiella pneumoniae,122555,0.5255,0.000000,keep,
NZ_CP138728.1,Klebsiella,Klebsiella pneumoniae,170295,0.5024,0.000000,keep,
NZ_CP138727.1,Klebsiella,Klebsiella pneumoniae,277344,0.4685,0.000000,keep,
NZ_CP138721.1,Klebsiella,Klebsiella oxytoca,1445,0.5626,0.000000,keep,
NZ_CP138720.1,Klebsiella,Klebsiella oxytoca,61008,0.5285,0.000000,keep,
NZ_CP138719.1,Klebsiella,Klebsiella oxytoca,284403,0.4766,0.000000,keep,
NZ_CP138814.1,Klebsiella,Klebsiella pneumoniae,4166,0.4150,0.000000,keep,
NZ_CP138813.1,Klebsiella,Klebsiella pneumoniae,4355,0.5284,0.000000,keep,
NZ_CP138812.1,Klebsiella,Klebsiella pneumoniae,4842,0.3525,0.000000,keep,
NZ_CP138811.1,Klebsiella,Klebsiella pneumoniae,5459,0.4188,0.000000,keep,
NZ_CP138810.1,Klebsiella,Klebsiella pneumoniae,107267,0.5780,0.000000,keep,
NZ_CP138809.1,Klebsiella,Klebsiella pneumoniae,115728,0.5225,0.000000,keep,
NZ_CP138808.1,Klebsiella,Klebsiella pneumoniae,182009,0.5097,0.000000,keep,
NZ_CP138807.1,Klebsiella,Klebsiella pneumoniae,342096,0.4923,0.000000,keep,
NZ_CP138696.1,Klebsiella,Klebsiella pneumoniae,4842,0.3525,0.000000,keep,
NZ_CP138695.1,Klebsiella,Klebsiella pneumoniae,107267,0.5780,0.000000,keep,
NZ_CP138694.1,Klebsiella,Klebsiella pneumoniae,116885,0.5135,0.000000,keep,
NZ_CP138693.1,Klebsiella,Klebsiella pneumoniae,181581,0.5095,0.000000,keep,
NZ_CP138692.1,Klebsiella,Klebsiella pneumoniae,340160,0.4918,0.000000,keep,
NZ_CP138778.1,Klebsiella,Klebsiella pneumoniae,2352,0.3299,0.000000,keep,
NZ_CP138777.1,Klebsiella,Klebsiella pneumoniae,4822,0.4417,0.000000,keep,
NZ_CP138776.1,Klebsiella,Klebsiella pneumoniae,7742,0.4864,0.000000,keep,
NZ_CP138775.1,Klebsiella,Klebsiella pneumoniae,73530,0.5321,0.000000,keep,
NZ_CP138774.1,Klebsiella,Klebsiella pneumoniae,193029,0.5187,0.000000,keep,
NZ_CP138766.1,Klebsiella,Klebsiella pneumoniae,4683,0.5501,0.000000,keep,
NZ_CP138765.1,Klebsiella,Klebsiella pneumoniae,267699,0.4686,0.000000,keep,
NZ_CP138764.1,Klebsiella,Klebsiella pneumoniae,307717,0.4686,0.000000,reject,F6_dup_sequence
NZ_CP138762.1,Klebsiella,Klebsiella oxytoca,4573,0.5476,0.000000,keep,
NZ_CP138761.1,Klebsiella,Klebsiella oxytoca,4863,0.4255,0.000000,keep,
NZ_CP138760.1,Klebsiella,Klebsiella oxytoca,4991,0.4504,0.000000,keep,
NZ_CP138759.1,Klebsiella,Klebsiella oxytoca,94397,0.5242,0.000000,keep,
NZ_CP138758.1,Klebsiella,Klebsiella oxytoca,269925,0.4694,0.000000,keep,
NZ_CP138700.1,Klebsiella,Klebsiella pneumoniae,7016,0.5227,0.000000,keep,
NZ_CP138699.1,Klebsiella,Klebsiella pneumoniae,173814,0.5113,0.000000,keep,
NZ_CP138698.1,Klebsiella,Klebsiella pneumoniae,274977,0.4691,0.000000,keep,
NZ_CP138690.1,Klebsiella,Klebsiella pneumoniae,8055,0.4593,0.000000,keep,
NZ_CP138689.1,Klebsiella,Klebsiella pneumoniae,141680,0.5393,0.000000,keep,
NZ_CP138832.1,Klebsiella,Klebsiella pneumoniae,944,0.5614,0.000000,reject,F3_too_short
NZ_CP138831.1,Klebsiella,Klebsiella pneumoniae,2026,0.4704,0.000000,keep,
NZ_CP138830.1,Klebsiella,Klebsiella pneumoniae,2440,0.5512,0.000000,keep,
NZ_CP138829.1,Klebsiella,Klebsiella pneumoniae,2574,0.4029,0.000000,keep,
NZ_CP138828.1,Klebsiella,Klebsiella pneumoniae,3105,0.4734,0.000000,keep,
NZ_CP138827.1,Klebsiella,Klebsiella pneumoniae,29632,0.5217,0.000000,keep,
NZ_CP138826.1,Klebsiella,Klebsiella pneumoniae,36883,0.5489,0.000000,keep,
NZ_CP138825.1,Klebsiella,Klebsiella pneumoniae,48831,0.5269,0.000000,keep,
NZ_CP138824.1,Klebsiella,Klebsiella pneumoniae,226033,0.5067,0.000000,keep,
NZ_CP138772.1,Klebsiella,Klebsiella oxytoca,3731,0.4851,0.000000,keep,
NZ_CP138771.1,Klebsiella,Klebsiella oxytoca,4913,0.5105,0.000000,keep,
NZ_CP138770.1,Klebsiella,Klebsiella oxytoca,112735,0.4866,0.000000,keep,
NZ_CP138769.1,Klebsiella,Klebsiella oxytoca,228213,0.4589,0.000000,keep,
NZ_CP138768.1,Klebsiella,Klebsiella oxytoca,248205,0.5134,0.000000,keep,
NZ_CP138822.1,Klebsiella,Klebsiella pneumoniae,341,0.6012,0.000000,reject,F2_not_complete
NZ_CP138821.1,Klebsiella,Klebsiella pneumoniae,604,0.5381,0.000000,reject,F2_not_complete
NZ_CP138820.1,Klebsiella,Klebsiella pneumoniae,931,0.4307,0.000000,reject,F2_not_complete
NZ_CP138819.1,Klebsiella,Klebsiella pneumoniae,3105,0.4734,0.000000,keep,
NZ_CP138818.1,Klebsiella,Klebsiella pneumoniae,38026,0.5342,0.000000,keep,
NZ_CP138817.1,Klebsiella,Klebsiella pneumoniae,51573,0.5203,0.000000,keep,
NZ_CP138816.1,Klebsiella,Klebsiella pneumoniae,255905,0.5116,0.000000,keep,
NZ_CP138725.1,Klebsiella,Klebsiella pneumoniae,2497,0.3220,0.000000,keep,
NZ_CP138724.1,Klebsiella,Klebsiella pneumoniae,62643,0.5459,0.000000,keep,
NZ_CP138723.1,Klebsiella,Klebsiella pneumoniae,226504,0.5019,0.000000,keep,
NZ_CP138709.1,Klebsiella,Klebsiella pneumoniae,4167,0.4149,0.000000,keep,
NZ_CP138708.1,Klebsiella,Klebsiella pneumoniae,124240,0.5258,0.000000,keep,
NZ_CP138707.1,Klebsiella,Klebsiella pneumoniae,229896,0.5108,0.000000,keep,
NZ_CP138705.1,Klebsiella,Klebsiella pneumoniae,2724,0.3785,0.000000,keep,
NZ_CP138704.1,Klebsiella,Klebsiella pneumoniae,146146,0.5890,0.000000,keep,
NZ_CP138703.1,Klebsiella,Klebsiella pneumoniae,149489,0.5071,0.000000,keep,
NZ_CP138702.1,Klebsiella,Klebsiella pneumoniae,152869,0.5271,0.000000,keep,
NZ_CP138687.1,Klebsiella,Klebsiella pneumoniae,4166,0.4150,0.000000,keep,
NZ_CP138686.1,Klebsiella,Klebsiella pneumoniae,4842,0.3525,0.000000,keep,
NZ_CP138685.1,Klebsiella,Klebsiella pneumoniae,5459,0.4188,0.000000,reject,F6_dup_sequence
NZ_CP138684.1,Klebsiella,Klebsiella pneumoniae,115736,0.5225,0.000000,keep,
NZ_CP138683.1,Klebsiella,Klebsiella pneumoniae,121646,0.4418,0.000000,keep,
NZ_CP138682.1,Klebsiella,Klebsiella pneumoniae,182137,0.5098,0.000000,keep,
NZ_CP138426.1,Escherichia,Escherichia coli,124145,0.5191,0.000000,keep,
NZ_CP138422.1,Escherichia,Escherichia coli,45028,0.4184,0.000000,keep,
NZ_CP138421.1,Escherichia,Escherichia coli,101952,0.5187,0.000000,keep,
NZ_CP138420.1,Escherichia,Escherichia coli,69846,0.5175,0.000000,keep,
NZ_CP138425.1,Escherichia,Escherichia coli,10293,0.5373,0.000000,keep,
NZ_CP138424.1,Escherichia,Escherichia coli,67965,0.4920,0.000000,keep,
NZ_CP138477.1,Klebsiella,Klebsiella pneumoniae,65420,0.5154,0.000000,keep,
NZ_CP138476.1,Klebsiella,Klebsiella pneumoniae,36664,0.5169,0.000000,keep,
NZ_CP138475.1,Klebsiella,Klebsiella pneumoniae,335444,0.4737,0.000000,keep,
