tag,segment,log10_length,relative_depth,delta_gc,degree,component_size,n_components,depth_x_length,_raw_len,_raw_depth,_gc
wick_Klebsiella_oxytoca_MSB1_2C,edge_2,6.38093,1.125,-0.00226,0,1,7,7.17855,2403981,9.0,0.54966
wick_Klebsiella_oxytoca_MSB1_2C,edge_3,6.5315,1.0,0.0016,0,1,7,6.5315,3400181,8.0,0.55352
wick_Klebsiella_oxytoca_MSB1_2C,edge_4,3.98614,0.625,-0.11335,0,1,7,2.49134,9686,5.0,0.43857
wick_Klebsiella_oxytoca_MSB1_2C,edge_5,4.24077,0.75,0.0376,0,1,7,3.18058,17409,6.0,0.58952
wick_Klebsiella_oxytoca_MSB1_2C,edge_6,3.65935,185.75,-0.18185,0,1,7,679.72345,4564,1486.0,0.37007
wick_Klebsiella_oxytoca_MSB1_2C,edge_7,4.7666,3.125,-0.03293,0,1,7,14.89562,58425,25.0,0.51899
wick_Klebsiella_variicola_INF345,edge_1,6.73359,1.0,0.0,0,1,7,6.73359,5414947,44.0,0.57544
wick_Klebsiella_variicola_INF345,edge_2,4.48825,6.36364,-0.23879,0,1,7,28.56162,30779,280.0,0.33666
wick_Klebsiella_variicola_INF345,edge_3,3.54481,27.84091,-0.03209,0,1,7,98.69079,3506,1225.0,0.54335
wick_Klebsiella_variicola_INF345,edge_4,4.06236,23.29545,-0.10152,0,1,7,94.63444,11544,1025.0,0.47393
wick_Klebsiella_variicola_INF345,edge_5,5.38652,1.29545,-0.05054,0,1,7,6.97799,243509,57.0,0.5249
wick_Klebsiella_variicola_INF345,edge_6,5.39936,1.40909,-0.11898,0,1,7,7.60819,250818,62.0,0.45646
wick_Klebsiella_variicola_INF345,edge_7,4.24027,0.34091,0.01355,0,1,7,1.44555,17389,15.0,0.58899
wick_Serratia_marcescens_17-147-1671,edge_1,6.74161,1.0,0.0,0,1,8,6.74161,5515776,26.0,0.59132
wick_Serratia_marcescens_17-147-1671,edge_2,3.00561,0.38462,-0.07207,14,22,8,1.156,1013,10.0,0.51925
wick_Serratia_marcescens_17-147-1671,edge_3,3.19756,9.23077,-0.00629,1,22,8,29.5159,1576,240.0,0.58503
wick_Serratia_marcescens_17-147-1671,edge_4,3.21059,1.30769,0.01275,1,22,8,4.19846,1624,34.0,0.60406
wick_Serratia_marcescens_17-147-1671,edge_5,5.20765,1.46154,-0.07007,0,1,8,7.61119,161307,38.0,0.52125
wick_Serratia_marcescens_17-147-1671,edge_6,3.87915,10.26923,-0.01266,1,22,8,39.83592,7571,267.0,0.57866
wick_Serratia_marcescens_17-147-1671,edge_7,2.88536,3.19231,0.00634,2,22,8,9.21096,768,83.0,0.59766
wick_Serratia_marcescens_17-147-1671,edge_8,2.94448,0.07692,0.04959,1,22,8,0.2265,880,2.0,0.64091
wick_Serratia_marcescens_17-147-1671,edge_9,3.68431,0.0,0.04377,1,22,8,0.0,4834,0.0,0.63508
wick_Serratia_marcescens_17-147-1671,edge_10,3.95689,0.15385,0.00272,1,22,8,0.60875,9055,4.0,0.59404
wick_Serratia_marcescens_17-147-1671,edge_11,3.90276,0.03846,0.03878,1,22,8,0.15011,7994,1.0,0.6301
wick_Serratia_marcescens_17-147-1671,edge_12,3.53046,0.11538,0.021,1,22,8,0.40736,3392,3.0,0.61232
wick_Serratia_marcescens_17-147-1671,edge_13,3.43201,0.11538,-0.04657,1,22,8,0.396,2704,3.0,0.54475
wick_Serratia_marcescens_17-147-1671,edge_14,3.69975,31.76923,-0.03692,1,22,8,117.53824,5009,826.0,0.5544
wick_Serratia_marcescens_17-147-1671,edge_15,4.22027,2.96154,-0.08487,4,22,8,12.49848,16606,77.0,0.50644
wick_Serratia_marcescens_17-147-1671,edge_16,4.94996,3.53846,-0.05914,2,22,8,17.51525,89117,92.0,0.53218
wick_Serratia_marcescens_17-147-1671,edge_17,3.14551,1.88462,-0.07272,3,22,8,5.92807,1398,49.0,0.5186
wick_Serratia_marcescens_17-147-1671,edge_18,2.94841,0.26923,-0.18141,2,22,8,0.7938,888,7.0,0.40991
wick_Serratia_marcescens_17-147-1671,edge_19,3.19061,3.92308,-0.091,3,22,8,12.51702,1551,102.0,0.50032
wick_Serratia_marcescens_17-147-1671,edge_20,3.07041,0.03846,-0.11258,2,22,8,0.11809,1176,1.0,0.47874
wick_Serratia_marcescens_17-147-1671,edge_21,3.40807,539.5,-0.08487,0,1,8,1838.65392,2559,14027.0,0.50645
wick_Serratia_marcescens_17-147-1671,edge_22,4.2895,0.03846,-0.08259,0,1,8,0.16498,19476,1.0,0.50873
wick_Serratia_marcescens_17-147-1671,edge_23,3.23654,3.76923,-0.07856,2,22,8,12.19926,1724,98.0,0.51276
wick_Serratia_marcescens_17-147-1671,edge_24,3.38917,0.46154,-0.06356,2,22,8,1.56423,2450,12.0,0.52776
wick_Serratia_marcescens_17-147-1671,edge_25,2.85974,3.61538,-0.03331,3,22,8,10.33905,724,94.0,0.55801
wick_Serratia_marcescens_17-147-1671,edge_26,3.60325,1.42308,-0.07574,0,1,8,5.12771,4011,37.0,0.51558
wick_Serratia_marcescens_17-147-1671,edge_27,3.22167,0.03846,-0.06431,0,1,8,0.12391,1666,1.0,0.52701
wick_Serratia_marcescens_17-147-1671,edge_28,4.45264,3.26923,-0.09167,0,1,8,14.55672,28356,85.0,0.49965
wick_Serratia_marcescens_17-147-1671,edge_29,4.46713,3.46154,-0.06686,1,22,8,15.46316,29318,90.0,0.52446
