isolate,arm,chromosome_acc,chromosome_len,plasmid_name,plasmid_acc,plasmid_len,plasmid_len_original,stratum,stratum_designed,analysis_set,copy_number,organism,gc,repeat_family,repeat_role,repeat_copies_in_plasmid,repeat_bases_in_plasmid,repeat_frac,cointegrated,isolate_seed
sim06,r9_raw,GCF_000599705.1,5090442,plasmid_2,NZ_CP033254.2,60381,60381,medium,medium,interventional,4,Salmonella enterica,0.4230,,,0,0,0.0,false,20360816
sim07,r10_hq,GCF_000784925.1,5312931,plasmid_1,NZ_CP073945.1,3258,3258,tiny,tiny,deterministic_tiny,14,Escherichia coli,0.4730,IS_sim07,frag,0,0,0.0,false,20360817
sim07,r10_hq,GCF_000784925.1,5312931,plasmid_2,NZ_CP117748.1,4167,4167,small,small,interventional,30,Klebsiella pneumoniae,0.4149,IS_sim07,frag,0,0,0.0,false,20360817
sim07,r10_hq,GCF_000784925.1,5312931,plasmid_3,NZ_AP025881.1,8390,4760,small,small,interventional,22,Enterobacter hormaechei,0.5162,IS_sim07,frag,3,3630,0.43266,false,20360817
sim07,r10_hq,GCF_000784925.1,5312931,plasmid_4,NZ_LT985239.1,33899,33899,medium,medium,interventional,5,Escherichia coli,0.4107,IS_sim07,frag,0,0,0.0,false,20360817
sim07,r10_hq,GCF_000784925.1,5312931,plasmid_5,NZ_CP157071.1,305150,303940,large,large,interventional,1,Enterobacter hormaechei,0.4771,IS_sim07,frag,1,1210,0.00397,false,20360817
sim08,r9_raw,GCF_000801165.1,4834634,plasmid_1,CP117207.1,9337,4084,small,small,interventional,16,Escherichia coli,0.4929,IS_sim08,frag,3,5253,0.5626,false,20360818
sim08,r9_raw,GCF_000801165.1,4834634,plasmid_2,CP067884.1,115390,113639,large,large,interventional,2,Klebsiella pneumoniae,0.5393,IS_sim08,frag,1,1751,0.01517,false,20360818
sim09,r10_hq,GCF_000801185.2,4895605,plasmid_1,NZ_CP056538.1,3398,3398,tiny,tiny,deterministic_tiny,12,Klebsiella pneumoniae,0.4526,IS_sim09,absorb,0,0,0.0,false,20360819
sim09,r10_hq,GCF_000801185.2,4895605,plasmid_2,CP099195.1,6221,6221,small,small,interventional,1,Escherichia coli,0.4686,IS_sim09,absorb,0,0,0.0,true,20360819
sim09,r10_hq,GCF_000801185.2,4895605,plasmid_3,NC_013542.1,70057,70057,medium,medium,interventional,5,Klebsiella pneumoniae,0.5229,IS_sim09,absorb,0,0,0.0,false,20360819
sim09,r10_hq,GCF_000801185.2,4895605,plasmid_4,NZ_CP146531.1,75517,75517,medium,medium,interventional,4,Klebsiella michiganensis,0.5322,IS_sim09,absorb,0,0,0.0,false,20360819
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_1,NZ_CP102902.1,4353,4353,small,small,interventional,11,Klebsiella quasipneumoniae,0.4310,,,0,0,0.0,false,20360820
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_2,NZ_CP140429.1,4779,4779,small,small,interventional,22,Enterobacter hormaechei,0.5248,,,0,0,0.0,false,20360820
sim10,r9_raw,GCF_000814145.2,4761012,plasmid_3,NZ_CP021542.1,43379,43379,medium,medium,interventional,3,Klebsiella pneumoniae,0.4683,,,0,0,0.0,false,20360820
sim11,r10_hq,GCF_000597845.1,4763781,plasmid_1,NZ_CP113183.1,3674,3674,tiny,tiny,deterministic_tiny,31,Klebsiella pneumoniae,0.4643,IS_sim11,frag,0,0,0.0,false,20360821
sim11,r10_hq,GCF_000597845.1,4763781,plasmid_2,NZ_CP141252.1,7987,5411,small,small,interventional,10,Citrobacter freundii,0.5217,IS_sim11,frag,2,2576,0.32252,false,20360821
sim11,r10_hq,GCF_000597845.1,4763781,plasmid_3,CP052788.1,323750,322462,large,large,interventional,1,Salmonella enterica,0.5041,IS_sim11,frag,1,1288,0.00398,false,20360821
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_1,NZ_CP103484.1,4051,4051,small,small,interventional,28,Escherichia coli,0.4303,,,0,0,0.0,false,20360822
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_2,NZ_KM406491.1,63581,63581,medium,medium,interventional,6,Klebsiella pneumoniae,0.5123,,,0,0,0.0,false,20360822
sim12,r9_raw,GCF_000599625.1,4807977,plasmid_3,NZ_CP082021.1,241489,241489,large,large,interventional,2,Klebsiella pneumoniae,0.5146,,,0,0,0.0,false,20360822
sim13,r10_hq,GCF_000599645.1,4875682,plasmid_1,NZ_CP058140.1,3360,3360,tiny,tiny,deterministic_tiny,14,Klebsiella quasipneumoniae,0.5176,,,0,0,0.0,false,20360823
sim13,r10_hq,GCF_000599645.1,4875682,plasmid_2,NZ_AP025681.1,3598,3598,tiny,tiny,deterministic_tiny,23,Escherichia coli,0.4339,,,0,0,0.0,false,20360823
sim13,r10_hq,GCF_000599645.1,4875682,plasmid_3,NZ_LR898880.1,5210,5210,small,small,interventional,16,Escherichia coli,0.4856,,,0,0,0.0,false,20360823
sim13,r10_hq,GCF_000599645.1,4875682,plasmid_4,NZ_CP132698.1,94223,94223,medium,medium,interventional,2,Klebsiella pneumoniae,0.5263,,,0,0,0.0,false,20360823
sim14,r9_raw,GCF_000599665.1,5054509,plasmid_1,NZ_CP092595.1,9294,9294,small,small,interventional,11,Klebsiella pneumoniae,0.5513,,,0,0,0.0,false,20360824
sim14,r9_raw,GCF_000599665.1,5054509,plasmid_2,LC744501.1,10494,10494,small,small,interventional,30,Escherichia coli,0.5634,,,0,0,0.0,false,20360824
sim14,r9_raw,GCF_000599665.1,5054509,plasmid_3,NZ_CP026753.1,70730,70730,medium,medium,interventional,4,Klebsiella pneumoniae,0.5283,,,0,0,0.0,false,20360824
sim14,r9_raw,GCF_000599665.1,5054509,plasmid_4,LC744457.1,136946,136946,large,large,interventional,1,Escherichia coli,0.5285,,,0,0,0.0,false,20360824
sim15,r10_hq,GCF_000599685.1,4998910,plasmid_1,CP088785.1,2058,2058,tiny,tiny,deterministic_tiny,10,Escherichia coli,0.4665,,,0,0,0.0,false,20360825
sim15,r10_hq,GCF_000599685.1,4998910,plasmid_2,NZ_CP079665.1,4092,4092,small,small,interventional,23,Klebsiella pneumoniae,0.5435,,,0,0,0.0,false,20360825
sim15,r10_hq,GCF_000599685.1,4998910,plasmid_3,NZ_CP024833.1,46137,46137,medium,medium,interventional,4,Escherichia coli,0.4666,,,0,0,0.0,false,20360825
sim16,r9_raw,GCF_000599705.1,5090442,plasmid_1,NZ_CP111003.1,6813,6813,small,small,interventional,15,Escherichia coli,0.3903,,,0,0,0.0,false,20360826
sim16,r9_raw,GCF_000599705.1,5090442,plasmid_2,NZ_CP074527.1,15271,15271,medium,medium,interventional,3,Klebsiella pneumoniae,0.5347,,,0,0,0.0,false,20360826
sim16,r9_raw,GCF_000599705.1,5090442,plasmid_3,CP042633.1,89339,89339,medium,medium,interventional,2,Escherichia coli,0.5025,,,0,0,0.0,false,20360826
sim17,r10_hq,GCF_000784925.1,5310511,plasmid_1,NZ_CP055222.1,2275,2275,tiny,tiny,deterministic_tiny,31,Shigella flexneri,0.5433,,,0,0,0.0,false,20360827
sim17,r10_hq,GCF_000784925.1,5310511,plasmid_2,NZ_CP107326.1,5596,5596,small,small,interventional,11,Klebsiella pneumoniae,0.5113,,,0,0,0.0,false,20360827
sim17,r10_hq,GCF_000784925.1,5310511,plasmid_3,NZ_CP116129.1,5775,5775,small,small,interventional,25,Escherichia coli,0.4952,,,0,0,0.0,false,20360827
sim17,r10_hq,GCF_000784925.1,5310511,plasmid_4,NZ_CP065971.1,128137,128137,large,large,interventional,2,Escherichia coli,0.4923,,,0,0,0.0,false,20360827
sim18,r9_raw,GCF_000801165.1,4839161,plasmid_1,NZ_CP022067.2,4301,4301,small,small,interventional,1,Salmonella enterica,0.4931,IS_sim18,absorb,0,0,0.0,true,20360828
sim18,r9_raw,GCF_000801165.1,4839161,plasmid_2,NZ_CP122684.1,61823,61823,medium,medium,interventional,3,Escherichia coli,0.5187,IS_sim18,absorb,0,0,0.0,false,20360828
sim18,r9_raw,GCF_000801165.1,4839161,plasmid_3,NZ_CP085057.1,118805,118805,large,large,interventional,2,Escherichia coli,0.5156,IS_sim18,absorb,0,0,0.0,false,20360828
sim19,r10_hq,GCF_000801185.2,4884464,plasmid_1,NZ_CP148482.1,3282,3282,tiny,tiny,deterministic_tiny,30,Escherichia coli,0.4610,,,0,0,0.0,false,20360829
sim19,r10_hq,GCF_000801185.2,4884464,plasmid_2,NZ_OP009360.1,9083,9083,small,small,interventional,26,Escherichia coli,0.5052,,,0,0,0.0,false,20360829
sim19,r10_hq,GCF_000801185.2,4884464,plasmid_3,NZ_MT108205.1,71872,71872,medium,medium,interventional,6,Klebsiella pneumoniae,0.5378,,,0,0,0.0,false,20360829
sim19,r10_hq,GCF_000801185.2,4884464,plasmid_4,NZ_AP023339.1,173855,173855,large,large,interventional,1,Klebsiella pneumoniae,0.4459,,,0,0,0.0,false,20360829
sim20,r9_raw,GCF_000814145.2,4768440,plasmid_1,NZ_CP031718.1,10060,10060,small,small,interventional,10,Klebsiella pneumoniae,0.5506,IS_sim20,frag,0,0,0.0,false,20360830
sim20,r9_raw,GCF_000814145.2,4768440,plasmid_2,NZ_AP023430.1,11072,5501,small,small,interventional,16,Escherichia coli,0.4036,IS_sim20,frag,3,5571,0.50316,false,20360830
sim20,r9_raw,GCF_000814145.2,4768440,plasmid_3,NZ_AP027420.1,87119,83405,medium,medium,interventional,4,Escherichia coli,0.5296,IS_sim20,frag,2,3714,0.04263,false,20360830
sim20,r9_raw,GCF_000814145.2,4768440,plasmid_4,NZ_OW967797.1,63589,63589,medium,medium,interventional,6,Escherichia coli,0.5122,IS_sim20,frag,0,0,0.0,false,20360830
sim21,r10_hq,GCF_000597845.1,4770760,plasmid_1,CP067542.1,2495,2495,tiny,tiny,deterministic_tiny,10,Klebsiella pneumoniae,0.5146,IS_sim21,absorb,0,0,0.0,false,20360831
sim21,r10_hq,GCF_000597845.1,4770760,plasmid_2,NZ_CP068093.1,5519,5519,small,small,interventional,1,Shigella boydii,0.4481,IS_sim21,absorb,0,0,0.0,true,20360831
sim21,r10_hq,GCF_000597845.1,4770760,plasmid_3,NZ_MT077887.1,69300,69300,medium,medium,interventional,6,Escherichia coli,0.5142,IS_sim21,absorb,0,0,0.0,false,20360831
sim22,r9_raw,GCF_000599625.1,4807977,plasmid_1,CP089957.1,10060,10060,small,small,interventional,18,Klebsiella pneumoniae,0.5506,,,0,0,0.0,false,20360832
sim22,r9_raw,GCF_000599625.1,4807977,plasmid_2,CP090294.1,50910,50910,medium,medium,interventional,3,Escherichia coli,0.5079,,,0,0,0.0,false,20360832
sim22,r9_raw,GCF_000599625.1,4807977,plasmid_3,NZ_MW815279.1,237684,237684,large,large,interventional,1,Escherichia coli,0.4610,,,0,0,0.0,false,20360832
sim23,r10_hq,GCF_000599645.1,4875682,plasmid_1,NZ_OY754375.1,3082,3082,tiny,tiny,deterministic_tiny,10,Escherichia coli,0.4607,,,0,0,0.0,false,20360833
sim23,r10_hq,GCF_000599645.1,4875682,plasmid_2,NZ_MG587004.1,11708,11708,small,small,interventional,8,Escherichia coli,0.5641,,,0,0,0.0,false,20360833
sim23,r10_hq,GCF_000599645.1,4875682,plasmid_3,NZ_CP059124.1,4082,4082,small,small,interventional,11,Escherichia coli,0.4939,,,0,0,0.0,false,20360833
sim23,r10_hq,GCF_000599645.1,4875682,plasmid_4,NZ_CP070554.1,63379,63379,medium,medium,interventional,6,Citrobacter freundii,0.5207,,,0,0,0.0,false,20360833
sim24,r9_raw,GCF_000599665.1,5067827,plasmid_1,NZ_CP149402.1,4593,4593,small,small,interventional,1,Salmonella enterica,0.5045,IS_sim24,absorb,0,0,0.0,true,20360834
sim24,r9_raw,GCF_000599665.1,5067827,plasmid_2,NZ_CP109754.1,53187,53187,medium,medium,interventional,3,Enterobacter roggenkampii,0.4846,IS_sim24,absorb,0,0,0.0,false,20360834
sim24,r9_raw,GCF_000599665.1,5067827,plasmid_3,NZ_CP019010.1,55746,55746,medium,medium,interventional,4,Escherichia coli,0.4959,IS_sim24,absorb,0,0,0.0,false,20360834
sim24,r9_raw,GCF_000599665.1,5067827,plasmid_4,NZ_CP115325.1,146752,146752,large,large,interventional,1,Escherichia coli,0.5191,IS_sim24,absorb,0,0,0.0,false,20360834
sim25,r10_hq,GCF_000599685.1,5000946,plasmid_1,NZ_CP060741.1,3293,2275,tiny,tiny,deterministic_tiny,27,Enterobacter roggenkampii,0.5165,IS_sim25,frag,1,1018,0.30914,false,20360835
sim25,r10_hq,GCF_000599685.1,5000946,plasmid_2,NZ_CP062912.1,7127,4073,small,small,interventional,23,Escherichia coli,0.4412,IS_sim25,frag,3,3054,0.42851,false,20360835
sim25,r10_hq,GCF_000599685.1,5000946,plasmid_3,NZ_CP034809.1,94980,94980,medium,medium,interventional,4,Escherichia coli,0.4793,IS_sim25,frag,0,0,0.0,false,20360835
sim25,r10_hq,GCF_000599685.1,5000946,plasmid_4,NZ_CP048776.1,311615,311615,large,large,interventional,2,Salmonella enterica,0.4738,IS_sim25,frag,0,0,0.0,false,20360835
sim26,r9_raw,GCF_000599705.1,5093682,plasmid_1,NZ_CP043294.1,1308,1308,tiny,tiny,deterministic_tiny,27,Escherichia coli,0.4794,IS_sim26,frag,0,0,0.0,false,20360836
sim26,r9_raw,GCF_000599705.1,5093682,plasmid_2,CP093092.1,5154,4074,small,small,interventional,28,Salmonella enterica,0.4951,IS_sim26,frag,1,1080,0.20955,false,20360836
sim26,r9_raw,GCF_000599705.1,5093682,plasmid_3,CP143339.1,48045,44805,medium,medium,interventional,4,Enterobacter hormaechei,0.5106,IS_sim26,frag,3,3240,0.06744,false,20360836
sim27,r10_hq,GCF_000784925.1,5310511,plasmid_1,NC_009345.1,8401,8401,small,small,interventional,10,Shigella sonnei,0.5541,,,0,0,0.0,false,20360837
sim27,r10_hq,GCF_000784925.1,5310511,plasmid_2,NZ_CP007135.1,98067,98067,medium,medium,interventional,4,Escherichia coli,0.4968,,,0,0,0.0,false,20360837
sim27,r10_hq,GCF_000784925.1,5310511,plasmid_3,NZ_CP043380.1,159323,159323,large,large,interventional,2,Klebsiella pneumoniae,0.5289,,,0,0,0.0,false,20360837
sim28,r9_raw,GCF_000801165.1,4827630,plasmid_1,NZ_CP072420.1,2731,2731,tiny,tiny,deterministic_tiny,16,Klebsiella pneumoniae,0.4643,,,0,0,0.0,false,20360838
sim28,r9_raw,GCF_000801165.1,4827630,plasmid_2,NZ_CP016920.1,6139,6139,small,small,interventional,16,Klebsiella pneumoniae,0.5217,,,0,0,0.0,false,20360838
sim28,r9_raw,GCF_000801165.1,4827630,plasmid_3,NZ_CP057461.1,4671,4671,small,small,interventional,28,Klebsiella pneumoniae,0.5449,,,0,0,0.0,false,20360838
sim28,r9_raw,GCF_000801165.1,4827630,plasmid_4,NZ_MK033500.1,57900,57900,medium,medium,interventional,6,Salmonella enterica,0.5075,,,0,0,0.0,false,20360838
sim29,r10_hq,GCF_000801185.2,4894460,plasmid_1,NZ_AP025905.1,4760,4760,small,small,interventional,1,Enterobacter hormaechei,0.5162,IS_sim29,absorb,0,0,0.0,true,20360839
sim29,r10_hq,GCF_000801185.2,4894460,plasmid_2,NZ_CP116915.1,35192,35192,medium,medium,interventional,3,Escherichia coli,0.4822,IS_sim29,absorb,0,0,0.0,false,20360839
sim29,r10_hq,GCF_000801185.2,4894460,plasmid_3,CP088867.1,89863,89863,medium,medium,interventional,2,Escherichia coli,0.5227,IS_sim29,absorb,0,0,0.0,false,20360839
sim29,r10_hq,GCF_000801185.2,4894460,plasmid_4,NZ_CP041093.1,250990,250990,large,large,interventional,1,Klebsiella pneumoniae,0.4573,IS_sim29,absorb,0,0,0.0,false,20360839
sim30,r9_raw,GCF_000814145.2,4761012,plasmid_1,CP063730.1,1983,1983,tiny,tiny,deterministic_tiny,26,Escherichia coli,0.5719,,,0,0,0.0,false,20360840
sim30,r9_raw,GCF_000814145.2,4761012,plasmid_2,NZ_ON209486.1,7980,7980,small,small,interventional,11,Escherichia coli,0.4742,,,0,0,0.0,false,20360840
sim30,r9_raw,GCF_000814145.2,4761012,plasmid_3,NZ_MW574942.1,46853,46853,medium,medium,interventional,6,Escherichia coli,0.3638,,,0,0,0.0,false,20360840
sim30,r9_raw,GCF_000814145.2,4761012,plasmid_4,NZ_CP058309.1,109907,109907,large,large,interventional,2,Escherichia coli,0.4625,,,0,0,0.0,false,20360840
sim31,r10_hq,GCF_000597845.1,4758629,plasmid_1,NZ_CP102876.1,4473,4473,small,small,interventional,8,Klebsiella pneumoniae,0.4449,,,0,0,0.0,false,20360841
sim31,r10_hq,GCF_000597845.1,4758629,plasmid_2,NC_019062.1,30016,30016,medium,medium,interventional,6,Escherichia coli,0.5549,,,0,0,0.0,false,20360841
sim32,r9_raw,GCF_000599625.1,4818820,plasmid_1,NZ_CP070434.1,3998,3998,tiny,tiny,deterministic_tiny,12,Klebsiella pneumoniae,0.3724,IS_sim32,absorb,0,0,0.0,false,20360842
sim32,r9_raw,GCF_000599625.1,4818820,plasmid_2,NZ_CP083848.1,4938,4938,small,small,interventional,1,Enterobacter asburiae,0.5488,IS_sim32,absorb,0,0,0.0,true,20360842
sim32,r9_raw,GCF_000599625.1,4818820,plasmid_3,CP137453.1,8828,8828,small,small,interventional,29,Klebsiella pneumoniae,0.4957,IS_sim32,absorb,0,0,0.0,false,20360842
sim32,r9_raw,GCF_000599625.1,4818820,plasmid_4,NZ_CP081339.1,62279,62279,medium,medium,interventional,3,Escherichia coli,0.4265,IS_sim32,absorb,0,0,0.0,false,20360842
sim32,r9_raw,GCF_000599625.1,4818820,plasmid_5,NZ_CP102548.1,125297,125297,large,large,interventional,1,Klebsiella pneumoniae,0.5028,IS_sim32,absorb,0,0,0.0,false,20360842
sim33,r10_hq,GCF_000599645.1,4875682,plasmid_1,CP055730.1,4286,4286,small,small,interventional,30,Escherichia coli,0.4225,,,0,0,0.0,false,20360843
sim33,r10_hq,GCF_000599645.1,4875682,plasmid_2,NZ_CP083705.1,146558,146558,large,large,interventional,1,Escherichia coli,0.5436,,,0,0,0.0,false,20360843
sim34,r9_raw,GCF_000599665.1,5059978,plasmid_1,NZ_CP063022.1,3511,3511,tiny,tiny,deterministic_tiny,26,Klebsiella pneumoniae,0.5451,IS_sim34,frag,0,0,0.0,false,20360844
sim34,r9_raw,GCF_000599665.1,5059978,plasmid_2,NZ_CP068603.1,8025,4379,small,small,interventional,29,Klebsiella pneumoniae,0.4161,IS_sim34,frag,2,3646,0.45433,false,20360844
sim34,r9_raw,GCF_000599665.1,5059978,plasmid_3,NZ_CP133566.1,64832,59363,medium,medium,interventional,5,Salmonella enterica,0.5196,IS_sim34,frag,3,5469,0.08436,false,20360844
sim34,r9_raw,GCF_000599665.1,5059978,plasmid_4,NZ_CP119167.1,81274,81274,medium,medium,interventional,4,Citrobacter freundii,0.5332,IS_sim34,frag,0,0,0.0,false,20360844
sim35,r10_hq,GCF_000599685.1,4998910,plasmid_1,NZ_CP125129.1,5010,5010,small,small,interventional,18,Klebsiella pneumoniae,0.4401,,,0,0,0.0,false,20360845
sim35,r10_hq,GCF_000599685.1,4998910,plasmid_2,NZ_CP110882.1,9639,9639,small,small,interventional,16,Enterobacter kobei,0.5700,,,0,0,0.0,false,20360845
sim35,r10_hq,GCF_000599685.1,4998910,plasmid_3,NZ_CP038459.1,14827,14827,medium,medium,interventional,6,Escherichia coli,0.4789,,,0,0,0.0,false,20360845
sim36,r9_raw,GCF_000599705.1,5100937,plasmid_1,CP148563.1,1021,1021,tiny,tiny,deterministic_tiny,22,Escherichia coli,0.5348,IS_sim36,absorb,0,0,0.0,false,20360846
sim36,r9_raw,GCF_000599705.1,5100937,plasmid_2,NZ_CP118016.1,5360,5360,small,small,interventional,1,Escherichia coli,0.4603,IS_sim36,absorb,0,0,0.0,true,20360846
sim36,r9_raw,GCF_000599705.1,5100937,plasmid_3,NZ_MN310376.1,130483,130483,large,large,interventional,1,Klebsiella pneumoniae,0.5164,IS_sim36,absorb,0,0,0.0,false,20360846
sim37,r10_hq,GCF_000784925.1,5310511,plasmid_1,CP052367.1,5010,5010,small,small,interventional,15,Klebsiella pneumoniae,0.4401,,,0,0,0.0,false,20360847
sim37,r10_hq,GCF_000784925.1,5310511,plasmid_2,NZ_CP035840.1,74294,74294,medium,medium,interventional,3,Escherichia coli,0.5033,,,0,0,0.0,false,20360847
sim37,r10_hq,GCF_000784925.1,5310511,plasmid_3,CP067545.1,109114,109114,large,large,interventional,1,Klebsiella pneumoniae,0.5373,,,0,0,0.0,false,20360847
sim38,r9_raw,GCF_000801165.1,4833027,plasmid_1,CP082480.1,3605,3605,tiny,tiny,deterministic_tiny,19,Salmonella enterica,0.4302,IS_sim38,frag,0,0,0.0,false,20360848
sim38,r9_raw,GCF_000801165.1,4833027,plasmid_2,NZ_CP051612.1,1907,1907,tiny,tiny,deterministic_tiny,27,Escherichia coli,0.3309,IS_sim38,frag,0,0,0.0,false,20360848
sim38,r9_raw,GCF_000801165.1,4833027,plasmid_3,NC_003457.1,8867,5269,small,small,interventional,26,Salmonella enterica,0.4838,IS_sim38,frag,2,3598,0.40577,false,20360848
sim38,r9_raw,GCF_000801165.1,4833027,plasmid_4,CP122747.1,96305,90908,medium,medium,interventional,4,Escherichia coli,0.4996,IS_sim38,frag,3,5397,0.05604,false,20360848
sim39,r10_hq,GCF_000801185.2,4889603,plasmid_1,NZ_CP045937.1,8645,5219,small,small,interventional,29,Shigella sonnei,0.4852,IS_sim39,frag,2,3426,0.3963,false,20360849
sim39,r10_hq,GCF_000801185.2,4889603,plasmid_2,NZ_CP125114.1,11007,9294,small,small,interventional,19,Klebsiella pneumoniae,0.5518,IS_sim39,frag,1,1713,0.15563,false,20360849
sim39,r10_hq,GCF_000801185.2,4889603,plasmid_3,CP058088.1,90645,90645,medium,medium,interventional,2,Escherichia coli,0.4910,IS_sim39,frag,0,0,0.0,false,20360849
sim39,r10_hq,GCF_000801185.2,4889603,plasmid_4,NZ_AP022299.1,123266,123266,large,large,interventional,2,Escherichia coli,0.4838,IS_sim39,frag,0,0,0.0,false,20360849
sim40,r9_raw,GCF_000814145.2,4761012,plasmid_1,NZ_CP016527.1,3046,3046,tiny,tiny,deterministic_tiny,13,Salmonella enterica,0.4485,,,0,0,0.0,false,20360850
sim40,r9_raw,GCF_000814145.2,4761012,plasmid_2,NZ_CP127234.1,5596,5596,small,small,interventional,10,Klebsiella pneumoniae,0.5114,,,0,0,0.0,false,20360850
sim40,r9_raw,GCF_000814145.2,4761012,plasmid_3,NZ_CP047425.1,17726,17726,medium,medium,interventional,4,Salmonella enterica,0.5090,,,0,0,0.0,false,20360850
sim41,r10_hq,GCF_000597845.1,4758629,plasmid_1,NZ_CP043410.1,4072,4072,small,small,interventional,21,Escherichia coli,0.4980,,,0,0,0.0,false,20360851
sim41,r10_hq,GCF_000597845.1,4758629,plasmid_2,NZ_CP070538.1,80085,80085,medium,medium,interventional,3,Citrobacter freundii,0.5374,,,0,0,0.0,false,20360851
sim41,r10_hq,GCF_000597845.1,4758629,plasmid_3,NZ_AP027817.1,33309,33309,medium,medium,interventional,4,Escherichia coli,0.4184,,,0,0,0.0,false,20360851
sim42,r9_raw,GCF_000599625.1,4820415,plasmid_1,NZ_CP104520.1,2246,2246,tiny,tiny,deterministic_tiny,28,Escherichia coli,0.5450,IS_sim42,absorb,0,0,0.0,false,20360852
sim42,r9_raw,GCF_000599625.1,4820415,plasmid_2,NZ_AP022209.1,5163,5163,small,small,interventional,1,Escherichia coli,0.4749,IS_sim42,absorb,0,0,0.0,true,20360852
sim42,r9_raw,GCF_000599625.1,4820415,plasmid_3,NZ_LR890717.1,6912,6912,small,small,interventional,30,Escherichia coli,0.5647,IS_sim42,absorb,0,0,0.0,false,20360852
